"creator","lastname","gender","title","year","notes_general","scan identifiers (internetarchive or google books)","best_ocr_estimate_identifier","best_ocr_estimate_edition_notes","incomplete"
"MARGUERITE, COUNTESS OF BLESSINGTON","MARGUERITE","F","The Repealers",1833,,"gracecassidyorre03bles gracecassidyorre01bles gracecassidyorre02bles gracecassidyorr01blesgoog gracecassidyorr02blesgoog","gracecassidyorre01bles gracecassidyorre02bles gracecassidyorre03bles","in 3 volumes",
"MARGUERITE, COUNTESS OF BLESSINGTON","MARGUERITE","F","The Two Friends",1835,,"twofriendsnovel02bles twofriendsnovel03bles twofriendsnovel01bles twofriends00gardgoog twofriendsanove00blesgoog","twofriendsnovel01bles twofriendsnovel02bles twofriendsnovel03bles","in 3 volumes",
"MARGUERITE, COUNTESS OF BLESSINGTON","MARGUERITE","F","The Confessions of an Elderly Gentleman",1836,,"ladyconfess01blesrich ladyconfess02blesrich confessionsofeld00blesuoft confessionsanel00blesgoog confessionsanel00gardgoog confessionsanel01blesgoog confessionsanel02blesgoog","confessionsofeld00blesuoft","in 1 volume",
"MARGUERITE, COUNTESS OF BLESSINGTON","MARGUERITE","F","The Victims of Society",1837,,"victimssociety02blesgoog victimssociety00gardgoog victimssociety00blesgoog victimssociety01blesgoog victimssociety_Ha4lAAAAMAAJ_google_epub victimsofsociety01bles victimsofsociety02bles victimsofsociety03bles the_victims_of_society_blessington_31EEAAAAQAAJ_google_epub","the_victims_of_society_blessington_31EEAAAAQAAJ_google_epub","entire text-3 volumes bound together (oxford does this)",
"MARGUERITE, COUNTESS OF BLESSINGTON","MARGUERITE","F","The Confessions of an Elderly Lady",1838,,"confessionsofeld00blesiala confessionsofane00blesuoft ladyconfess01blesrich ladyconfess02blesrich confessionsanel01gardgoog confessionsanel00blesgoog ladyblessington00blesgoog","confessionsofeld00blesiala","in 1 volume",
"MARGUERITE, COUNTESS OF BLESSINGTON","MARGUERITE","F","The Governess",1839,,"governess00gardgoog governess_i3kEAAAAQAAJ_google_epub","governess_i3kEAAAAQAAJ_google_epub","entire text-2 volumes bound together (oxford does this)",
"MARGUERITE, COUNTESS OF BLESSINGTON","MARGUERITE","F","The Lottery of Life",1842,,"the_lottery_of_life_v1_SyktAAAAYAAJ_google_epub the_lottery_of_life_0VhcmLhxPi4C_google_epub","the_lottery_of_life_0VhcmLhxPi4C_google_epub","entire text-3 volumes bound together (oxford does this)",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Greville (unfinished)",1822,"Adburgham note “unfinished”",,,"Adburgham note “unfinished”–-perhaps no surprise no scans found 20100508","TRUE"
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Falkland",1827,,"falkland01lyttgoog falkland00lyttgoog godolphinandfal00lyttgoog falkland_THAOAAAAQAAJ_google_epub falkland_bulwer_FRENCH_THAOAAAAQAAJ_google_epub falkland_bulwer__cc60i-y_z0C_google_epub","falkland_bulwer__cc60i-y_z0C_google_epub","in 1 volume",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Pelham",1828,,"pelham02lyttgoo pelham_-A4mAAAAMAAJ_google_epub","pelham_-A4mAAAAMAAJ_google_epub","entire text-3 volumes bound together (oxford does this)",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Devereux",1829,,"devereux02lyttuoft devereux02lyttgoog devereux05lyttgoog devereux03lyttgoog devereux04lyttgoog devereux_gvcdAAAAMAAJ_google_epub devereux_lytton_bOQNAAAAQAAJ_google_epub","devereux_lytton_bOQNAAAAQAAJ_google_epub","in 1 volume; 2 volume has notation “library edition”",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","The Disowned",1829,,"disowned03lyttiala disowned03lyttgoog disowned01lyttiala disowned07lyttgoog disowned01lytt disowned02lytt disowned02lyttiala disowned03lytt disowned04lytt","disowned01lytt disowned02lytt disowned03lytt disowned04lytt","in 4 volumes",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Paul Clifford",1830,,"paulcliffordcomp00lyttuoft paulclifford01lytt paulclifford02lytt paulclifford03lytt paulclifford05lyttgoog paulclifford04lyttgoog paulcliffordbya00lyttgoog paulclifford00lyttgoog paulclifford06lyttgoog paulclifford02lyttgoog","paulclifford01lytt paulclifford02lytt paulclifford03lytt","in 3 volumes",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Godolphin",1833,,"godolphin00lyttiala godolphin00lyttrich godolphin00lyttuoft godolphin01lyttgoog godolphin04lyttgoog godolphin02lyttgoog godolphin00lyttgoog godolphinbyegel00lyttgoog godolphinandfal00lyttgoog godolphin_u-INAAAAQAAJ_google_epub","godolphin00lyttrich","entire text",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Ernest Maltravers",1837,,"ernestmaltravers02lytt ernestmaltravers02lyttuoft ernestmaltraver00lytgoog ernestmaltraver02lytgoog ernestmaltravers01lyttuoft ernestmaltravers01lytt ernestmaltraver01lytgoog ernestmaltravers03lytt ernestmaltraver02lyttgoog","ernestmaltravers01lyttuoft ernestmaltravers02lytt ernestmaltravers03lytt","in 3 volumes",
"EDWARD GEORGE EARLE LYTTON BULWER","BULWER","M","Alice, or the Mysteries (sequel to Ernest Maltravers)",1838,,"aliceormysterie05lyttgoog alice_l524VIBh6L0C_google_epub aliceorthemyster00lyttiala aliceormysteries00lyttiala","aliceormysteries00lyttiala","entire text routledge reprint",
"LADY CHARLOTTE BURY","BURY","F","Conduct is Fate",1822,,"conduct_is_fate_bury_wrABAAAAQAAJ_google_epub","conduct_is_fate_bury_wrABAAAAQAAJ_google_epub","entire text-3 volumes bound together (oxford does this)",
"LADY CHARLOTTE BURY","BURY","F","Alla Giornata",1826,,"allagiornataorto01bury allagiornataorto02bury allagiornataorto03bury allagiornataort01burygoog allagiornataort00burygoog alla_giornata_bury_v1of3_w1PQAAAAMAAJ_google_epub alla_giornata_bury_vol2of3_WlTQAAAAMAAJ_google_epub alla_giornata_bury_vol3of3_hW_QAAAAMAAJ_google_epub","allagiornataort00burygoog alla_giornata_bury_v1of3_w1PQAAAAMAAJ_google_epub alla_giornata_bury_vol2of3_WlTQAAAAMAAJ_google_epub alla_giornata_bury_vol3of3_hW_QAAAAMAAJ_google_epub","in 3 volumes",
"LADY CHARLOTTE BURY","BURY","F","Flirtation",1828,,"flirtation00burygoog flirtationanove00burygoog flirtationnovel01bury flirtationnovel02bury flirtationnovel03bury","flirtationnovel01bury flirtationnovel02bury flirtationnovel03bury","in 3 volumes",
"LADY CAROLINE LUCY SCOTT","SCOTT","F","A Marriage in High Life",1828,,"amarriageinhigh00burygoog marriageinhighli01scot marriageinhighli02scot amarriageinhigh00scotgoo","marriageinhighli01scot marriageinhighli02scot","in 2 volumes",
"LADY CHARLOTTE BURY","BURY","F","The Separation",1830,,"separationanove00burygoog separation_bury_vol2_OAwmAAAAMAAJ_google_epub separation_bury_vol2_20100519_OAwmAAAAMAAJ_google_epub","separation_bury_vol2_20100519_OAwmAAAAMAAJ_google_epub","in 2 volumes; INCOMPLETE MISSING 1ST VOLUME","TRUE"
"LADY CHARLOTTE BURY","BURY","F","Journal of the Heart",1830,,"journal_of_the_heart_PeEsAAAAYAAJ_google_epub","journal_of_the_heart_PeEsAAAAYAAJ_google_epub","entire text; american edition",
"LADY CHARLOTTE BURY","BURY","F","The Exclusives",1830,,"exclusives00burygoog exclusives01burygoog exclusives01bury exclusives02bury exclusives03bury","exclusives01bury exclusives02bury exclusives03bury","in 3 volumes",
"LADY CHARLOTTE BURY","BURY","F","The Disinherited",1834,,"the_disinherited_bury_hm_QAAAAMAAJ_google_epub","the_disinherited_bury_hm_QAAAAMAAJ_google_epub","entire text, paris edition",
"LADY CHARLOTTE BURY","BURY","F","Journal of the Heart, 2nd series",1835,,,,"NO SCANS FOUND 20100508","TRUE"
"LADY CHARLOTTE BURY","BURY","F","The Devoted",1836,,"devoted00burygoog devotedbyauthor00burygoog devoted01burygoog the_devoted_bury_hdwDAAAAQAAJ_google_epub","the_devoted_bury_hdwDAAAAQAAJ_google_epub","entire text-3 volumes bound together (oxford does this)",
"LADY CHARLOTTE BURY","BURY","F","The Divorced",1837,,"the_divorced_bury_vol1of2_GpIpAQAAIAAJ_google_epub the_divorced_bury_vol2of2_KJIpAQAAIAAJ_google_epub","the_divorced_bury_vol1of2_GpIpAQAAIAAJ_google_epub the_divorced_bury_vol2of2_KJIpAQAAIAAJ_google_epub","in 2 volumes",
"LADY CHARLOTTE BURY","BURY","F","Love",1837,,"love00burygoog love01burygoog love_bury_mVQEAAAAQAAJ_google_epub","love_bury_mVQEAAAAQAAJ_google_epub","entire text-3 volumes bound together (oxford does this)",
"LADY CHARLOTTE BURY","BURY","F","The History of a Flirt",1840,,,,"NO SCANS FOUND 20100508","TRUE"
"LADY CHARLOTTE BURY","BURY","F","Family Records",1841,,"familyrecordsor02burygoog familyrecordsor01burygoog familyrecordsor03burygoog familyrecordsor00burygoog familyrecordsor00burygoog_UXw2F0IKXboC_google_epub","familyrecordsor00burygoog_UXw2F0IKXboC_google_epub","entire text-3 volumes bound together (oxford does this)",
"LADY CHARLOTTE BURY","BURY","F","The Manoeuvring Mother",1842,,"manuvringmother01bury manuvringmother02bury anoeuvringmothe00flirgoog manuvringmother03bury manoeuvring_mother_bury_i7EBAAAAQAAJ_google_epub","manoeuvring_mother_bury_i7EBAAAAQAAJ_google_epub","entire text-3 volumes bound together (oxford does this)",
"BENJAMIN DISRAELI (1st Earl of Beaconsfield, 1876)","DISRAELI","M","Vivian Grey","1826-1827","published in volumes 1826-1827","viviangrey00disrrich viviangrey02disr viviangrey00disrgoog viviangrey01disr","viviangrey00disrrich","entire text, “new edition”",
"BENJAMIN DISRAELI (1st Earl of Beaconsfield, 1876)","DISRAELI","M","The Voyage of Popanilla",1828,,"voyageofcaptainp00disr voyagecaptainpo00disrgoog the_voyage_of_captain_popanilla_disraeli_s_glAAAAMAAJ_google_epub the_voyage_of_captain_popanilla_HTUYAAAAYAAJ_google_epub","the_voyage_of_captain_popanilla_HTUYAAAAYAAJ_google_epub","entire text, usa edition",
"BENJAMIN DISRAELI (1st Earl of Beaconsfield, 1876)","DISRAELI","M","The Young Duke -- A Moral Tale, though Gay",1831,,"youngduke00disrgoog young_duke_disraeli_vol2of2_klAAAAMAAJ_google_epub the_young_duke_disraeli_vol1of3_1831_36ApAQAAIAAJ_google_epub the_young_duke_disraeli_IrA-AAAAYAAJ_google_epub","the_young_duke_disraeli_IrA-AAAAYAAJ_google_epub","entire text, usa edition",
"BENJAMIN DISRAELI (1st Earl of Beaconsfield, 1876)","DISRAELI","M","Contarini Fleming -- A Psychological Romance",1832,,"contarinifleming01disr contarinifleming02disr contarinifleming03disr contarinifleming04disr contariniflemin01disrgoog contariniflemin02disrgoog contariniflemin00disrgoog contariniflemin04disrgoog contarini_fleming_all_vols_mhK7xT4Bc3wC_google_epub","contarini_fleming_all_vols_mhK7xT4Bc3wC_google_epub","entire text",
"BENJAMIN DISRAELI (1st Earl of Beaconsfield, 1876)","DISRAELI","M","Alroy",1833,,"wondroustaleofal01disr wondroustaleofal02disr wondroustaleofal03disr alroy_disraeli__Nh-m_xGkhQC_google_epub","alroy_disraeli__Nh-m_xGkhQC_google_epub","entire text",
"BENJAMIN DISRAELI (1st Earl of Beaconsfield, 1876)","DISRAELI","M","Venetia",1837,,"venetiacontarini01disr venetia00disrgoog venetia001isrgoog venetia00d3srgoog venetia00di4rgoog venetia02disrgoog venetia00disriala venetia_disraeli_UBKK4bvDNkQC_google_epub","venetia00disriala","entire text, “new edition”",
"BENJAMIN DISRAELI (1st Earl of Beaconsfield, 1876)","DISRAELI","M","Henrietta Temple -- A Love Story",1837,,"henriettatemple01disrgoog henriettatemple02disrgoog henriettatemple00disrgoog henrietta_temple_disraeli_b7wlAAAAMAAJ_google_epub henrietta_temple_disraeli_29kQAAAAYAAJ_google_epub","henrietta_temple_disraeli_29kQAAAAYAAJ_google_epub","entire text, “new edition”",
"CATHERINE GRACE FRANCES GORE","GORE","F","Women as They Are, or The Manners of the Day",1830,,"mannersofday02gore mannersofday01gore mannersofday03gore","mannersofday01gore mannersofday02gore mannersofday03gore","in 3 volumes; 3rd volume missing title pages; very thin paper, relatively low quality scan",
"CATHERINE GRACE FRANCES GORE","GORE","F","Mothers and Daughters",1831,,"mothersanddaught00goreuoft mothersanddaugh00frangoog mothersdaughters01gore mothersdaughters02gore mothersdaughters03gore mothers_and_daughters_vol1_gore_GOA0AAAAMAAJ_google_epub","mothersanddaught00goreuoft","mothers_and_daughters_vol1_gore_GOA0AAAAMAAJ_google_epub vol1; mothersanddaught00goreuoft entire text decent scan",
"CATHERINE GRACE FRANCES GORE","GORE","F","The Hamiltons",1831,,"hamiltonsoroffic00goreuoft hamiltonsoroffi00frangoog","hamiltonsoroffic00goreuoft","entire text",
"CATHERINE GRACE FRANCES GORE","GORE","F","Pin Money",1831,,"pinmoneynovel01gore pinmoneynovel02gore pinmoneynovel03gore pinmoneyanovel05frangoog pinmoneyanovel00frangoog pinmoneyanovel04frangoog pinmoneyanovel01frangoog pinmoneyanovel02frangoog pinmoneyanovel03frangoog pin_money_gore_v1_gYig3kmsHkUC_google_epub pin_money_gore_v2_lTFUEARg5WIC_google_epub pin_money_gore_v3_Ejn5mBLtAA8C_google_epub","pinmoneynovel01gore pinmoneynovel02gore pinmoneynovel03gore","in 3 volumes; google and internet archive versions appear identical editions (harvard and champaign-urbana) pin_money_gore_v1_gYig3kmsHkUC_google_epub pin_money_gore_v2_lTFUEARg5WIC_google_epub pin_money_gore_v3_Ejn5mBLtAA8C_google_epub",
"CATHERINE GRACE FRANCES GORE","GORE","F","The Fair of Mayfair",1832,,"fairofmayfair01gore fairofmayfair02gore fairofmayfair03gore","fairofmayfair01gore fairofmayfair02gore fairofmayfair03gore","in 3 volumes",
"CATHERINE GRACE FRANCES GORE","GORE","F","The Opera",1832,,"operanovel02gore operanovel03gore operanovel01gore","operanovel02gore operanovel03gore operanovel01gore","in 3 volumes",
"CATHERINE GRACE FRANCES GORE","GORE","F","The Sketch Book of Fashion",1833,,"sketchbookfashi00goregoog sketchbookoffash02gore sketchbookoffash03gore sketchbookoffash002gore sketchbookoffash003gore sketchbookoffash01gore sketchbookoffash001gore","sketchbookoffash01gore sketchbookoffash002gore sketchbookoffash03gore","in 3 volumes",
"CATHERINE GRACE FRANCES GORE","GORE","F","The Diary of a Désennuyée",1836,,"diaryofdsennuy01gore diaryadsennuye00edengoog diaryadsennuye00frangoog diaryadsennuye01frangoog diaryadesennuye00frangoog diaryadsennuyeb00goregoog diaryofdsennuy02gore diary_of_a_desennuyee_qokgAAAAMAAJ_google_epub","diary_of_a_desennuyee_qokgAAAAMAAJ_google_epub","diary_of_a_desennuyee_qokgAAAAMAAJ_google_epub entire text, american edition; IA copies in 2 volumes",
